['p5', '00:06:18', 'pan', 'geo-0-1', '-25', '-3', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x2-0-11-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x3-0-30-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x5-0-29-1', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x5-0-29-1', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1280-1535-4x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-4x1-1536-1791-4x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-5x1-2816-3071-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-5x1-3072-3327-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-1024-1279-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-1536-1791-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-1280-1535-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-1792-2047-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x2-0-11-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x2-0-11-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x3-0-30-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x3-0-30-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1280-1535-5x5-0-29-1', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-256-511-5x1-1536-1791-5x5-0-29-1', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-6x1-2560-2815-6x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-6x1-2816-3071-6x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-768-1023-6x1-3072-3327-6x4-0-23-0', 'Question']
['p5', '00:06:25', 'tile cached', 'undefined', '0-1024-1279-6x1-2560-2815-6x4-0-23-0', 'Question']
['p5', '00:06:27', 'pan', 'geo-0-1', '664', '1410', 'Question']
['p5', '00:06:28', 'zoom', 'geo-0-1', '6', 'Question']
['p5', '00:06:28', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2560-2815-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2816-3071-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2560-2815-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2816-3071-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2560-2815-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2816-3071-5x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2560-2815-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2816-3071-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2816-3071-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2560-2815-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2560-2815-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2816-3071-5x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2816-3071-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2816-3071-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2560-2815-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2816-3071-5x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2560-2815-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-5x1-2816-3071-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2560-2815-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-5x1-2816-3071-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2560-2815-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-5x1-2816-3071-5x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-6x1-5376-5631-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-6x1-5632-5887-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-6x1-5888-6143-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2560-2815-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2816-3071-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2560-2815-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2560-2815-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2816-3071-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2816-3071-6x2-0-11-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2560-2815-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2816-3071-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2560-2815-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2816-3071-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2560-2815-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2816-3071-6x3-0-30-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2560-2815-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2560-2815-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2816-3071-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2816-3071-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2560-2815-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2560-2815-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2816-3071-6x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1024-1279-6x1-2816-3071-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2560-2815-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1280-1535-6x1-2816-3071-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2560-2815-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-1536-1791-6x1-2816-3071-6x5-0-29-1', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2048-2303-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2304-2559-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2560-2815-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-2816-3071-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-7x1-5376-5631-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3072-3327-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-7x1-5632-5887-7x4-0-23-0', 'Question']
['p5', '00:06:28', 'tile cached', 'undefined', '0-3328-3583-7x1-5888-6143-7x4-0-23-0', 'Question']
['p5', '00:06:30', 'pan', 'geo-0-1', '-659', '-1439', 'Sensemaking']
['p5', '00:06:30', 'zoom', 'geo-0-1', '5', 'Sensemaking']
['p5', '00:06:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1280-1535-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1280-1535-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1280-1535-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x2-0-11-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1280-1535-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1280-1535-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1280-1535-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x3-0-30-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1280-1535-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1280-1535-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1280-1535-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1280-1535-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1280-1535-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1280-1535-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1536-1791-6x5-0-29-1', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-7x1-2560-2815-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-7x1-2816-3071-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1024-1279-7x1-2560-2815-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1024-1279-7x1-2816-3071-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1280-1535-7x1-2560-2815-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1280-1535-7x1-2816-3071-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1024-1279-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1280-1535-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1536-1791-7x1-2560-2815-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1536-1791-7x1-2816-3071-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1792-2047-7x1-2560-2815-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1792-2047-7x1-2816-3071-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1536-1791-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1792-2047-7x1-3072-3327-7x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'pan', 'geo-0-1', '-329', '-719', 'Sensemaking']
['p5', '00:06:30', 'zoom', 'geo-0-1', '4', 'Sensemaking']
['p5', '00:06:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-0-255-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-0-255-6x1-1280-1535-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-256-511-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-0-255-6x1-1536-1791-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1024-1279-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-768-1023-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-1280-1535-6x1-1024-1279-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-0-255-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-0-255-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p5', '00:06:30', 'tile cached', 'undefined', '0-512-767-4x1-1024-1279-4x4-0-23-0', 'Sensemaking']
['p5', '00:06:35', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p5', '00:06:35', 'brush', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p5', '00:06:35', 'brush', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p5', '00:06:36', 'range select', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p5', '00:06:36', 'range select', 'bar-5', '5-7-7-1_', 'Sensemaking']
['p5', '00:06:37', 'range select', 'bar-5', '5-5-5-1_', 'Sensemaking']
['p5', '00:06:38', 'range select', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p5', '00:06:38', 'range select', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p5', '00:06:40', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:40', 'pan', 'geo-0-1', '7', '3', 'Sensemaking']
['p5', '00:06:40', 'pan', 'geo-0-1', '8', '4', 'Sensemaking']
['p5', '00:06:40', 'pan', 'geo-0-1', '6', '2', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '4', '1', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '7', '3', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '9', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '8', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:06:41', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:42', 'pan', 'geo-0-1', '380', '833', 'Sensemaking']
['p5', '00:06:42', 'zoom', 'geo-0-1', '5', 'Sensemaking']
['p5', '00:06:43', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:44', 'pan', 'geo-0-1', '628', '1685', 'Sensemaking']
['p5', '00:06:45', 'zoom', 'geo-0-1', '6', 'Sensemaking']
['p5', '00:06:45', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3072-3327-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3328-3583-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3328-3583-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3072-3327-5x5-0-29-1', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3072-3327-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3328-3583-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3072-3327-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3328-3583-5x2-0-11-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3072-3327-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3328-3583-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3072-3327-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3328-3583-5x3-0-30-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1024-1279-5x1-3328-3583-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-2304-2559-6x1-6144-6399-6x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1536-1791-5x1-3328-3583-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-1280-1535-5x1-3328-3583-5x4-0-23-0', 'Sensemaking']
['p5', '00:06:45', 'tile cached', 'undefined', '0-2304-2559-6x1-6400-6655-6x4-0-23-0', 'Sensemaking']
