 00:27:25, which I think would make sense if Brightkite is an American service., Exploration, 0.0,  pan,  0.02968
 00:28:51, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00895
 00:28:51, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:55, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00170
 00:28:55, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:56, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00142
 00:28:56, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:57, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00156
 00:28:57, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:29:11, This u3642 seems to be in the east coast a lot., Sensemaking, 0.25,  brush,  0.00412
 00:29:37, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  range select,  0.00270
 00:29:40, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  clear,  0.00014
 00:30:11, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  pan,  0.04715
 00:30:11, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  zoom,  0.00014
 00:30:12, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  pan,  0.00014
 00:30:13, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  clear,  0.00014
 00:30:13, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  pan,  0.00014
 00:30:13, Should looking at Japan because the whole ... all the islands are almost completely.. seems pretty dense., Sensemaking, 0.25,  zoom,  0.00014
 00:30:20, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  pan,  0.00398
 00:30:20, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  zoom,  0.00014
 00:30:21, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  pan,  0.00014
 00:30:21, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  zoom,  0.00014
 00:30:28, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  pan,  0.00213
 00:30:28, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  zoom,  0.00014
 00:30:31, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  pan,  0.00099
 00:30:31, South Korea which is one of the most connected countries in the world ,, Sensemaking, 0.5,  zoom,  0.00014
 00:30:34, has much fewer data points than Japan., Sensemaking, 0.25,  pan,  0.00170
 00:30:34, has much fewer data points than Japan., Sensemaking, 0.25,  zoom,  0.00014
 00:30:38, I guess maybe it's not very well used there., Sensemaking, 0.0,  pan,  0.00185
 00:30:38, I guess maybe it's not very well used there., Sensemaking, 0.0,  zoom,  0.00014
 00:30:40, I guess maybe it's not very well used there., Sensemaking, 0.0,  pan,  0.00142
 00:31:00, I don't notice anything unusual in Japan, it seems to follow the main trend., Sensemaking, 0.25,  range select,  0.00383
 00:31:02, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  clear,  0.00014
 00:31:10, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  range select,  0.00142
 00:31:10, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:10, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  zoom,  0.00014
 00:31:11, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:11, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  zoom,  0.00014
 00:31:14, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:19, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  range select,  0.00099
 00:31:21, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:42, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  range select,  0.00213
 00:31:42, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:42, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  zoom,  0.00014
 00:31:43, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:43, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  zoom,  0.00014
 00:31:44, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  pan,  0.00014
 00:31:44, I would be curious to see whether Europe had a later skew in time of day compared to the rest of the world., Question, 0.0,  zoom,  0.00014
 00:31:47, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00014
 00:31:47, Yeah it's pretty uniform., Sensemaking, 0.25,  zoom,  0.00014
 00:31:48, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00014
 00:31:48, Yeah it's pretty uniform., Sensemaking, 0.25,  zoom,  0.00014
 00:31:50, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00014
 00:31:50, Yeah it's pretty uniform., Sensemaking, 0.25,  zoom,  0.00014
 00:31:51, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00014
 00:31:51, Yeah it's pretty uniform., Sensemaking, 0.25,  zoom,  0.00014
 00:31:52, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00014
 00:31:52, Yeah it's pretty uniform., Sensemaking, 0.25,  zoom,  0.00014
 00:32:03, Yeah it's pretty uniform., Sensemaking, 0.25,  pan,  0.00511
 00:32:03, Yeah it's pretty uniform., Sensemaking, 0.25,  clear,  0.00014
 00:32:05, Yeah it's pretty uniform., Sensemaking, 0.25,  brush,  0.00270
 00:32:06, Yeah it's pretty uniform., Sensemaking, 0.25,  clear,  0.00014
 00:32:16, I guess maybe it's just the population is so big that I'm looking at., Sensemaking, 0.0,  pan,  0.01448
 00:32:16, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:16, Now we should look at LA., Question, 0.0,  brush,  0.00142
 00:32:16, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:20, Now we should look at LA., Question, 0.0,  brush,  0.00256
 00:32:20, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:21, Now we should look at LA., Question, 0.0,  pan,  0.00312
 00:32:21, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:28, Now we should look at LA., Question, 0.0,  brush,  0.00696
 00:32:29, Now we should look at LA., Question, 0.0,  pan,  0.00142
 00:32:29, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:33, Now we should look at LA., Question, 0.0,  brush,  0.00511
 00:32:34, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:35, Now we should look at LA., Question, 0.0,  pan,  0.00099
 00:32:36, Now we should look at LA., Question, 0.0,  clear,  0.00014
 00:32:36, Now we should look at LA., Question, 0.0,  pan,  0.00014
 00:32:36, Now we should look at LA., Question, 0.0,  zoom,  0.00014
 00:32:38, We should go to my hometown and see what people are up to., Question, 0.0,  pan,  0.00128
 00:32:38, We should go to my hometown and see what people are up to., Question, 0.0,  zoom,  0.00014
 00:32:40, Yeah there are definitely quite a few checkouts on the roads, or assuming these are roads, I think some of these are. , Sensemaking, 0.0,  pan,  0.00085
 00:32:40, Yeah there are definitely quite a few checkouts on the roads, or assuming these are roads, I think some of these are. , Sensemaking, 0.0,  zoom,  0.00014
 00:32:46, Yeah there are definitely quite a few checkouts on the roads, or assuming these are roads, I think some of these are. , Sensemaking, 0.0,  pan,  0.00114
 00:32:52, Yeah there are definitely quite a few checkouts on the roads, or assuming these are roads, I think some of these are. , Sensemaking, 0.0,  range select,  0.00099
 00:33:00, Yeah there are definitely quite a few checkouts on the roads, or assuming these are roads, I think some of these are. , Sensemaking, 0.0,  clear,  0.00014
 00:33:09, Hopefully they are the passenger, not the driver. Or they could be rest stops. , Sensemaking, 0.0,  range select,  0.00241
 00:33:11, Hopefully they are the passenger, not the driver. Or they could be rest stops. , Sensemaking, 0.0,  clear,  0.00014
 00:33:23, That would be interesting or like a motel., Sensemaking, 0.0,  range select,  0.00199
 00:33:25, That would be interesting or like a motel., Sensemaking, 0.0,  clear,  0.00014
 00:33:25, That would be interesting or like a motel., Sensemaking, 0.0,  pan,  0.00014
 00:33:25, That would be interesting or like a motel., Sensemaking, 0.0,  zoom,  0.00014
 00:33:26, Oh I ended up in like Denver or something. OK, what an interesting.. this may be not relevant from a population perspective., Sensemaking, 0.0,  pan,  0.00014
 00:33:26, Oh I ended up in like Denver or something. OK, what an interesting.. this may be not relevant from a population perspective., Sensemaking, 0.0,  zoom,  0.00014
 00:33:26, Oh I ended up in like Denver or something. OK, what an interesting.. this may be not relevant from a population perspective., Sensemaking, 0.0,  pan,  0.00014
 00:33:26, Oh I ended up in like Denver or something. OK, what an interesting.. this may be not relevant from a population perspective., Sensemaking, 0.0,  zoom,  0.00014
 00:33:33, This long line of dots going from Texas,, Exploration, 0.25,  pan,  0.00412
 00:33:33, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:37, This long line of dots going from Texas,, Exploration, 0.25,  brush,  0.00696
 00:33:38, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:40, This long line of dots going from Texas,, Exploration, 0.25,  pan,  0.00682
 00:33:40, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:41, This long line of dots going from Texas,, Exploration, 0.25,  brush,  0.00114
 00:33:41, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:44, This long line of dots going from Texas,, Exploration, 0.25,  brush,  0.00412
 00:33:45, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:50, This long line of dots going from Texas,, Exploration, 0.25,  brush,  0.00213
 00:33:50, This long line of dots going from Texas,, Exploration, 0.25,  clear,  0.00014
 00:33:54, oh you know what, it could be a cruise. , Exploration, 0.0,  brush,  0.00341
 00:33:55, oh you know what, it could be a cruise. , Exploration, 0.0,  clear,  0.00014
 00:33:59, But it's going to Cuba, OK, interesting. And then it's going to the east. , Exploration, 0.0,  brush,  0.00213
 00:33:59, But it's going to Cuba, OK, interesting. And then it's going to the east. , Exploration, 0.0,  pan,  0.00014
 00:33:59, But it's going to Cuba, OK, interesting. And then it's going to the east. , Exploration, 0.0,  zoom,  0.00014
 00:34:02, But it's going to Cuba, OK, interesting. And then it's going to the east. , Exploration, 0.0,  pan,  0.00256
 00:34:02, But it's going to Cuba, OK, interesting. And then it's going to the east. , Exploration, 0.0,  clear,  0.00014
 00:34:04, OK, this is again based on number of checkins, right?, Exploration, 0.0,  brush,  0.00057
 00:34:07, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00440
 00:34:08, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:14, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00213
 00:34:16, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00142
 00:34:20, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00298
 00:34:20, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:20, OK, this is again based on number of checkins, right?, Exploration, 0.0,  brush,  0.00014
 00:34:22, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:22, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:34:22, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:34:23, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00156
 00:34:27, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00213
 00:34:28, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:32, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00213
 00:34:33, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:37, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00114
 00:34:38, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:42, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00383
 00:34:42, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:34:42, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:34:42, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:34:45, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00099
 00:34:47, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00213
 00:34:48, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:50, OK, this is again based on number of checkins, right?, Exploration, 0.0,  range select,  0.00099
 00:34:52, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:34:52, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:34:52, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:34:53, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:34:53, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:34:54, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:34:54, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:35:01, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00639
 00:35:01, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:35:02, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00114
 00:35:03, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:35:03, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:35:03, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:35:05, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:35:05, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:35:07, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00284
 00:35:08, OK, this is again based on number of checkins, right?, Exploration, 0.0,  clear,  0.00014
 00:35:09, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00014
 00:35:09, OK, this is again based on number of checkins, right?, Exploration, 0.0,  zoom,  0.00014
 00:35:13, OK, this is again based on number of checkins, right?, Exploration, 0.0,  pan,  0.00142
 00:35:25, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  range select,  0.00043
 00:35:26, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  clear,  0.00014
 00:35:26, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  brush,  0.00028
 00:35:26, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  clear,  0.00014
 00:35:26, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  brush,  0.00014
 00:35:28, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  clear,  0.00014
 00:35:28, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00014
 00:35:28, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  zoom,  0.00014
 00:35:34, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00724
 00:35:36, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  clear,  0.00014
 00:35:36, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00014
 00:35:36, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  zoom,  0.00014
 00:35:44, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00824
 00:35:45, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  clear,  0.00014
 00:35:46, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00014
 00:35:46, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  zoom,  0.00014
 00:35:48, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  pan,  0.00014
 00:35:48, I guess the range is such that heavily populated areas are still gonna completely show up., Question, 0.0,  zoom,  0.00014
 00:35:52, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00213
 00:35:52, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:35:53, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:35:53, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:35:54, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:35:54, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:35:57, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00085
 00:35:57, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:02, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00128
 00:36:02, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:10, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00653
 00:36:10, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:12, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00099
 00:36:13, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  clear,  0.00014
 00:36:14, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:36:14, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:27, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.01321
 00:36:29, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  clear,  0.00014
 00:36:29, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:36:29, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:30, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:36:31, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  clear,  0.00014
 00:36:31, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00014
 00:36:31, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:34, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  pan,  0.00199
 00:36:34, So user number 1, top 30 travelers, this guy has definitely traveled to a handful of different., Question, 0.0,  zoom,  0.00014
 00:36:53,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  pan,  0.02812
 00:36:53,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  zoom,  0.00014
 00:36:54,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  pan,  0.00014
 00:36:54,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  zoom,  0.00014
 00:36:58,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  pan,  0.00383
 00:36:58,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  zoom,  0.00014
 00:37:03,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  pan,  0.00099
 00:37:06,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  range select,  0.00014
 00:37:07,  This is over a two-year span, is it? OK, two-year span. , Question, 0.0,  clear,  0.00014
 00:37:18, So he's been in bay area, Mexico city, near Anchorage, in the middle of China, Japan, Australia., Sensemaking, 0.25,  range select,  0.00128
 00:37:18, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  pan,  0.00014
 00:37:18, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  zoom,  0.00014
 00:37:19, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  pan,  0.00014
 00:37:19, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  zoom,  0.00014
 00:37:20, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  pan,  0.00014
 00:37:20, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  zoom,  0.00014
 00:37:23, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  pan,  0.00014
 00:37:24, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  clear,  0.00014
 00:37:27, almost all of his checkins are in September and Nov., Sensemaking, 0.25,  brush,  0.00014
 00:38:03, oh wait, November and December., Sensemaking, 0.0,  pan,  0.05254
 00:38:03, End of the year. Interesting., Sensemaking, 0.0,  clear,  0.00014
 00:38:03, I guess it's probably not a business traveler., Sensemaking, 0.0,  brush,  0.00014
 00:38:05, None of his travels is concentrated like that., Sensemaking, 0.0,  clear,  0.00014
 00:38:24, OK, just scrolling down the users...just curious to see where they've been., Sensemaking, 0.0,  pan,  0.01761
 00:38:25,  this guy, number 2, u69, he's traveled a fair amount every month, , Question, 0.0,  clear,  0.00014
 00:38:50, or at least based on his checkin points., Question, 0.0,  pan,  0.00582
 00:38:50, A lot of checkins throughout the continental US and Hawaii., Sensemaking, 0.25,  zoom,  0.00014
 00:39:06, He's traveled almost every day., Sensemaking, 0.0,  pan,  0.00710
 00:39:06, This guy by contrast is probably a work.. a business traveler., Sensemaking, 0.25,  zoom,  0.00014
 00:39:08, This first user has interesting hourly checkin rate,, Sensemaking, 0.0,  pan,  0.00014
 00:39:08, This first user has interesting hourly checkin rate,, Sensemaking, 0.0,  zoom,  0.00014
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  pan,  0.00511
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  clear,  0.00014
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  pan,  0.00014
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  clear,  0.00014
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  pan,  0.00014
 00:39:11, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  clear,  0.00014
 00:39:12, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  pan,  0.00099
 00:39:12, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  clear,  0.00014
 00:39:12, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  brush,  0.00043
 00:39:13, where he's checked in a little bit every single hour of the day at some point., Sensemaking, 0.0,  range select,  0.00014
 00:39:32, The guy is a zombie, he doesn't sleep., Sensemaking, 0.0,  pan,  0.02215
